Neighborhood,Restaurant,Price ($),Rating (out of 5)
Carrboro,401 Main,25,4.5
Carrboro,Luna Rotisserie,20,4.5
Carrboro,Breakaway Carrboro,23,4.5
Carrboro,Acme Food & Beverage Co,28,4.4
Carrboro,Spotted Dog Restaurant,21,4.4
Carrboro,Thai Station Restaurant,17,4.4
Carrboro,Tandem,50,4.4
Carrboro,Armadillo Grill,18,4
Carrboro,Venable Rotisserie Bistro,30,4.5
Carrboro,Pizzeria Mercato,27,4.7
Carrboro,Glasshalffull,43,4.6
Carrboro,La Montaña,37,4.7
E Franklin,Time-Out Restaurant,13,4.1
E Franklin,Hibachi & Company,18,4.3
E Franklin,Wheat,20,4.7
E Franklin,Cosmic Cantina,17,4.4
E Franklin,Top of the Hill,25,4.4
E Franklin,TRU,20,4.4
E Franklin,Bonchon Chapel Hill,18,4.3
E Franklin,Grk Yeero,11,4.4
E Franklin,Zayka Indian Grill,28,4.8
E Franklin,Sup Dogs,10,4.4
E Franklin,VooDoo Wing Company,13,4.5
E Franklin,Pirate Captain,12,4.5
E Franklin,Rougarou (Imbibe),16,4.7
E Franklin,Momo's Master,14,4.6
W Franklin,Que Chula,16,4.3
W Franklin,Might As Well,14,4
W Franklin,Heavenly Buffaloes,12,4.4
W Franklin,Italian Pizzeria III,15,4.5
W Franklin,Kurama Sushi & Noodle Express,15,4.4
W Franklin,Spicy 9 Sushi Bar & Asian Restaurant,17,4.2
W Franklin,Pantana Bob's,19,4.2
W Franklin,Chimney Indian Kitchen,22,4.4
W Franklin,Blue's on Franklin,20,4
W Franklin,Pho Happiness,15,4.2
